,取得日時,価格
0,2024-07-28 05:00:00,155251
1,2024-07-28 05:30:00,155119
2,2024-07-28 06:00:00,154987
3,2024-07-28 06:30:00,154855
4,2024-07-28 07:00:00,154723
5,2024-07-28 07:30:00,154592
6,2024-07-28 08:00:00,154460
7,2024-07-28 08:30:00,154328
8,2024-07-28 09:00:00,154196
9,2024-07-28 09:30:00,154065
10,2024-07-28 10:00:00,153933
11,2024-07-28 10:30:00,153801
12,2024-07-28 11:00:00,153669
13,2024-07-28 11:30:00,153537
14,2024-07-28 12:00:00,153406
15,2024-07-28 12:30:00,153274
16,2024-07-28 13:00:00,153142
17,2024-07-28 13:30:00,153010
18,2024-07-28 14:00:00,152879
19,2024-07-28 14:30:00,152851
20,2024-07-28 15:00:00,152823
21,2024-07-28 15:30:00,152795
22,2024-07-28 16:00:00,152767
23,2024-07-28 16:30:00,152740
24,2024-07-28 17:00:00,152740
25,2024-07-28 17:30:00,152757
26,2024-07-28 18:00:00,152757
27,2024-07-28 18:30:00,155246
28,2024-07-28 19:00:00,155141
29,2024-07-28 19:30:00,155141
30,2024-07-28 20:00:00,155251
31,2024-07-28 20:30:00,172660
32,2024-07-28 21:00:00,155141
33,2024-07-28 21:30:00,171728
34,2024-07-28 22:00:00,152879
35,2024-07-28 22:30:00,171838
36,2024-07-28 23:00:00,162340
37,2024-07-28 23:30:00,152842
38,2024-07-29 00:00:00,152842
39,2024-07-29 00:30:00,155141
40,2024-07-29 01:00:00,152887
41,2024-07-29 01:30:00,155251
42,2024-07-29 02:00:00,155141
43,2024-07-29 02:30:00,153955
44,2024-07-29 03:00:00,152770
45,2024-07-29 03:30:00,162153
46,2024-07-29 04:00:00,162153
47,2024-07-29 04:30:00,160732
48,2024-07-29 05:00:00,160732
49,2024-07-29 05:30:00,165769
50,2024-07-29 06:00:00,160367
51,2024-07-29 06:30:00,160367
52,2024-07-29 07:00:00,155251
53,2024-07-29 07:30:00,155251
54,2024-07-29 08:00:00,157627
55,2024-07-29 08:30:00,153587
56,2024-07-29 09:00:00,152695
57,2024-07-29 09:30:00,155141
58,2024-07-29 10:00:00,155141
59,2024-07-29 10:30:00,155111
60,2024-07-29 11:00:00,161647
61,2024-07-29 11:30:00,161026
62,2024-07-29 12:00:00,160405
63,2024-07-29 12:30:00,159784
64,2024-07-29 13:00:00,159163
65,2024-07-29 13:30:00,158542
66,2024-07-29 14:00:00,157921
67,2024-07-29 14:30:00,157300
68,2024-07-29 15:00:00,189104
69,2024-07-29 15:30:00,175430
70,2024-07-29 16:00:00,161756
71,2024-07-29 16:30:00,161538
72,2024-07-29 17:00:00,158792
73,2024-07-29 17:30:00,158792
74,2024-07-29 18:00:00,158683
75,2024-07-29 18:30:00,158499
76,2024-07-29 19:00:00,158250
77,2024-07-29 19:30:00,158002
78,2024-07-29 20:00:00,157753
79,2024-07-29 20:30:00,157505
80,2024-07-29 21:00:00,157586
81,2024-07-29 21:30:00,155731
82,2024-07-29 22:00:00,155731
83,2024-07-29 22:30:00,158104
84,2024-07-29 23:00:00,160478
85,2024-07-29 23:30:00,157680
86,2024-07-30 00:00:00,162753
87,2024-07-30 00:30:00,162753
88,2024-07-30 01:00:00,159582
89,2024-07-30 01:30:00,159582
90,2024-07-30 02:00:00,161008
91,2024-07-30 02:30:00,161137
92,2024-07-30 03:00:00,160310
93,2024-07-30 03:30:00,162665
94,2024-07-30 04:00:00,162556
95,2024-07-30 04:30:00,162447
96,2024-07-30 05:00:00,162339
97,2024-07-30 05:30:00,162230
98,2024-07-30 06:00:00,162122
99,2024-07-30 06:30:00,162013
100,2024-07-30 07:00:00,161905
101,2024-07-30 07:30:00,161796
102,2024-07-30 08:00:00,161687
103,2024-07-30 08:30:00,161579
104,2024-07-30 09:00:00,161470
105,2024-07-30 09:30:00,161362
106,2024-07-30 10:00:00,161253
107,2024-07-30 10:30:00,161145
108,2024-07-30 11:00:00,196922
109,2024-07-30 11:30:00,157465
110,2024-07-30 12:00:00,159476
111,2024-07-30 12:30:00,161487
112,2024-07-30 13:00:00,157465
